Gene Symbol	OVCAR_KO
MLF1	1305
MTAPP1	0
FNDC10	36
OXCT2	17
GFM1	837
LXN	1
RARRES1	9
LOC100287290	99
RPL35AP9	0
MFSD1	134
GPR79	0
LOC105374181	6
IQCJ-SCHIP1	87
IQCJ	0
LOC105378666	0
SCHIP1	18
RPS2P19	0
LOC100420738	0
IQCJ-SCHIP1-AS1	0
LOC101928351	3
RNU2-31P	0
IL12A-AS1	0
IL12A	50
LINC01100	0
LOC101929536	3
LOC105374314	0
BRD7P2	4
LOC107986149	0
C3orf80	35
IFT80	764
RPL35AP10	0
SMC4	2419
TRIM59	631
LOC105378951	9
B3GAT3P1	2
RNU7-136P	0
KPNA4	976
SCARNA7	28
KRT8P12	13
RPL6P8	0
ARL14	6
PPM1L	570
B3GALNT1	89
LOC105374186	1
LOC107985740	4
NMD3	2634
LOC105374187	54
EEF1GP4	0
PSMC1P7	1
SPTSSB	48
LOC107986150	0
LINC02067	3
RPL23AP42	807
OTOL1	0
LOC107986048	0
LOC105378665	0
LOC107986049	0
TOMM22P6	0
RPS6P4	0
LINC01192	0
LOC105374188	0
RNU7-82P	0
LOC730129	0
LOC102724419	0
LOC105374189	0
LOC105378667	1
LOC105374190	0
LOC105374191	1
LOC107986151	0
LINC01324	0
LOC107986050	0
SI	1
LOC105374192	0
LOC101928405	0
SLITRK3	0
LINC01322	0
TRIT1	655
BCHE	0
MTND4P17	0
MTND4LP10	0
MTND3P7	0
MTCO3P38	0
LOC100420620	0
RN7SKP298	0
PSAT1P4	0
CBX1P5	0
LOC105374194	0
MYCL	99
LOC105374193	0
LOC105374195	0
LOC131055	0
LOC105374196	0
ZBBX	30
LINC01327	0
SERPINI2	0
LOC105374197	0
WDR49	1
PDCD10	1323
LOC105378668	1
HMGN1P8	2
SERPINI1	168
MEMO1P3	0
LINC01330	0
LOC107986039	0
HMGN2P26	0
LOC107986152	1
GOLIM4	304
EGFEM1P	15
RNU2-20P	0
LOC105378586	31
MFSD2A	63
LOC105374200	0
RPSAP33	2
RPL21P43	0
LINC02082	1
LOC105374201	0
LOC107986051	0
MECOM	286
LOC105374206	0
LOC105374205	0
RPS2P12	11
RPL22P1	0
SDHDP3	0
TERC	131
ACTRT3	19
TRV-AAC1-1	0
MYNN	648
LRRC34	18
LRRIQ4	0
LRRC31	0
KRT18P43	0
LOC105378669	6
SAMD7	0
LOC100421510	0
LOC100128164	4
SEC62	3349
